LB,Nat,Natural,Inc Deg,Inc Degree,Dec Deg,Dec Degree,Inc Rightmost Neighbor,Inc Rightmost Neighbor,Dec MN,Dec Rightmost Neighbor
1482,1482,0,1482,0,1482,0,1482,0,1482,0
3080,3080,0,3080,0,3080,0,3080,0,3080,0
6320,6320,0,6320,0,6320,0,6320,0,6320,0
6480,6480,0,6480,0,6480,0,6480,0,6480,0
9702,9702,0,9702,0,9702,0,9702,0,9702,0
11990,11990,0,11990,0,11990,0,11990,0,11990,0
14520,14520,0,14520,0,14520,0,14520,0,14520,0
16256,16256,0,16256,0,16256,0,16256,0,16256,0
19740,19740,0,19740,0,19740,0,19740,0,19740,0
16555,16555,0,16555,0,16555,0,16555,0,16555,0
20089,20089,0,20089,0,20089,0,20089,0,20089,0
829,829,0,829,0,829,0,829,0,829,0
2744,2744,0,2744,0,2744,0,2744,0,2744,0
5316,5316,0,5316,0,5316,0,5316,0,5316,0
9500,9500,0,9500,0,9500,0,9500,0,9500,0
11068,11068,0,11068,0,11068,0,11068,0,11068,0
33251,33251,0,33251,0,33251,0,33251,0,33251,0
11836,11879,43,11995,159,11923,87,11841,5,11923,87
18092,18170,78,18379,287,18115,23,18104,12,18240,148
14884,14978,94,15155,271,14939,55,14899,15,14936,52
5174,5182,8,5229,55,5181,7,5183,9,5185,11
6769,6782,13,6843,74,6779,10,6788,19,6787,18
8577,8596,19,8723,146,8599,22,8617,40,8609,32
7675,7693,18,7781,106,7688,13,7706,31,7704,29
8124,8149,25,8272,148,8148,24,8147,23,8151,27
10860,10883,23,11037,177,10897,37,10898,38,10914,54
3230,3234,4,3235,5,3232,2,3231,1,3230,0
1559,1559,0,1559,0,1559,0,1559,0,1559,0
2776,2778,2,2779,3,2776,0,2776,0,2776,0
15024,15024,0,15024,0,15024,0,15024,0,15024,0
22264,22445,181,22662,398,22342,78,22314,50,22778,514
20827,20882,55,21069,242,20881,54,20913,86,20903,76
20671,20762,91,20853,182,20749,78,20752,81,20800,129
23361,23441,80,23632,271,23423,62,23443,82,23453,92
27670,27754,84,27976,306,27745,75,27777,107,27791,121
26964,27047,83,27281,317,27042,78,27061,97,27104,140
31901,31972,71,32176,275,31963,62,31986,85,31995,94
24467,25382,915,26216,1749,26371,1904,25496,1029,26412,1945
197691,199698,2007,200298,2607,199442,1751,199390,1699,201092,3401
226351,228564,2213,229556,3205,228226,1875,228299,1948,230253,3902
220220,222341,2121,223253,3033,222077,1857,222133,1913,223998,3778
256266,258835,2569,259691,3425,258413,2147,258520,2254,260629,4363
273541,276481,2940,277579,4038,276032,2491,276122,2581,278565,5024
324412,327658,3246,328683,4271,327088,2676,327171,2759,329952,5540
221738,223593,1855,224416,2678,223336,1598,223359,1621,224512,2774
247035,249232,2197,250109,3074,248858,1823,249002,1967,250520,3485
292326,294889,2563,295915,3589,294458,2132,294669,2343,296323,3997
304158,306786,2628,307768,3610,306411,2253,306641,2483,308160,4002
275432,277817,2385,278912,3480,277557,2125,277625,2193,279399,3967
105991,107359,1368,109027,3036,107201,1210,107750,1759,109146,3155
96919,98092,1173,98598,1679,97894,975,98450,1531,109631,12712
151745,152961,1216,153464,1719,152571,826,153086,1341,164487,12742
185841,187702,1861,188336,2495,187439,1598,188639,2798,207015,21174
211325,213660,2335,215395,4070,214222,2897,214768,3443,242471,31146
82205,82205,0,82205,0,82205,0,82205,0,82205,0
100013,100013,0,100013,0,100013,0,100013,0,100013,0
173013,173013,0,173013,0,173013,0,173013,0,173013,0
182029,189721,7692,190550,8521,191965,9936,189944,7915,192076,10047
220308,230899,10591,229130,8822,229799,9491,228576,8268,229351,9043
307702,319597,11895,320386,12684,320334,12632,320147,12445,320568,12866
336961,350442,13481,351284,14323,351965,15004,351670,14709,352194,15233
431240,447723,16483,449573,18333,449899,18659,449828,18588,452038,20798
54222,56720,2498,58853,4631,59605,5383,56948,2726,59681,5459
102408,106034,3626,110580,8172,110969,8561,107016,4608,112303,9895
990365,993787,3422,994705,4340,993543,3178,994161,3796,994696,4331
256142,258281,2139,259414,3272,258129,1987,259432,3290,283366,27224
315499,318281,2782,319980,4481,317807,2308,319707,4208,351926,36427
104824,107898,3074,107864,3040,108023,3199,107879,3055,111698,6874
114163,117246,3083,117319,3156,117211,3048,117578,3415,120574,6411
117037,117037,0,117037,0,117037,0,117037,0,117037,0
132493,132493,0,132493,0,132493,0,132493,0,132493,0
176033,176033,0,176033,0,176033,0,176033,0,176033,0
579105,605564,26459,605462,26357,608054,28949,606282,27177,606894,27789
138592,153799,15207,148892,10300,152837,14245,147808,9216,153332,14740
206277,235901,29624,222194,15917,228229,21952,218607,12330,228428,22151
274468,287161,12693,298669,24201,305101,30633,288894,14426,305383,30915
118515,120627,2112,122952,4437,120793,2278,121252,2737,124687,6172
125647,127229,1582,130219,4572,127592,1945,127678,2031,129639,3992
150235,152662,2427,155864,5629,152752,2517,153579,3344,155929,5694
180567,183421,2854,187196,6629,183365,2798,184425,3858,186547,5980
186600,189646,3046,194034,7434,189532,2932,190418,3818,193607,7007
185684,188114,2430,191680,5996,188236,2552,189139,3455,191431,5747
125090,125113,23,125158,68,125099,9,125140,50,125102,12
184001,184399,398,186147,2146,184169,168,184564,563,184196,195
92759,92759,0,92759,0,92759,0,92759,0,92759,0
200617,200617,0,200617,0,200617,0,200617,0,200617,0
236782,236782,0,236782,0,236782,0,236782,0,236782,0
241803,241803,0,241803,0,241803,0,241803,0,241803,0
236418,236418,0,236418,0,236418,0,236418,0,236418,0
257813,257813,0,257813,0,257813,0,257813,0,257813,0
268908,268908,0,268908,0,268908,0,268908,0,268908,0
120017,123494,3477,123432,3415,123552,3535,123704,3687,128446,8429
299456,303626,4170,309436,9980,303467,4011,305612,6156,306991,7535
304207,308404,4197,313909,9702,308009,3802,310335,6128,310955,6748
299788,304351,4563,310029,10241,304023,4235,306717,6929,310019,10231
249227,252557,3330,257496,8269,253070,3843,253799,4572,257726,8499
241903,242500,597,248460,6557,242623,720,243660,1757,242671,768
224341,225393,1052,225622,1281,224889,548,225344,1003,224919,578
286989,288027,1038,294047,7058,287755,766,288217,1228,287854,865
346841,346841,0,346841,0,346841,0,346841,0,346841,0
,,,,,,,,,,
Mean,,"2386,09",,"3191,44",,"2587,29",,"2379,31",,"4673,86"
